,TFT8_Item_GiantSlayer_GenAE,TFT8_Item_AceEmblemItem,TFT5_Item_StatikkShivRadiant,TFT_Item_SparringGloves,TFT8_Item_HandOfJustice_GenAE,TFT8_Item_PranksterEmblemItem,TFT_Item_LocketOfTheIronSolari,TFT8_Item_OxForceEmblemItem,TFT_Item_IonicSpark,TFT5_Item_WarmogsArmorRadiant,TFT8_Item_RapidFireCannon_GenAE,TFT_Item_GargoyleStoneplate,TFT_Item_RunaansHurricane,TFT5_Item_GuardianAngelRadiant,TFT_Item_GiantsBelt,TFT8_Item_DuelistEmblemItem,TFT_Item_SpearOfShojin,TFT_Item_Deathblade,TFT5_Item_ArchangelsStaffRadiant,TFT4_Item_OrnnAnimaVisage,TFT4_Item_OrnnMuramana,TFT5_Item_MorellonomiconRadiant,TFT8_Item_BrawlerEmblemItem,TFT5_Item_ZephyrRadiant,TFT_Item_RecurveBow,TFT5_Item_ChaliceOfPowerRadiant,TFT_Item_ThiefsGloves,TFT4_Item_OrnnRanduinsSanctum,TFT5_Item_TitansResolveRadiant,TFT_Item_FrozenHeart,TFT_Item_EmptyBag,TFT8_Item_DefenderEmblemItem,TFT8_Item_RenegadeEmblemItem,TFT5_Item_SpearOfShojinRadiant,TFT_Item_NeedlesslyLargeRod,TFT_Item_SeraphsEmbrace,TFT5_Item_BrambleVestRadiant,TFT4_Item_OrnnZhonyasParadox,TFT4_Item_OrnnInfinityForce,TFT_Item_BFSword,TFT4_Item_OrnnRocketPropelledFist,TFT8_Item_DeadeyeEmblemItem,TFT5_Item_HextechGunbladeRadiant,TFT_Item_GuardianAngel,TFT4_Item_OrnnObsidianCleaver,TFT_Item_Chalice,TFT8_Item_CivilianEmblemItem,TFT5_Item_FrozenHeartRadiant,TFT5_Item_GuinsoosRagebladeRadiant,TFT4_Item_OrnnDeathsDefiance,TFT8_Item_AegisEmblemItem,TFT5_Item_DragonsClawRadiant,TFT5_Item_LastWhisperRadiant,TFT_Item_GuinsoosRageblade,TFT_Item_InfinityEdge,TFT8_Item_UndergroundTheEmblemItem,TFT5_Item_ShroudOfStillnessRadiant,TFT_Item_LastWhisper,TFT8_Item_Sunfire_GenAE,TFT_Item_MadredsBloodrazor,TFT_Item_TearOfTheGoddess,TFT8_Item_InterPolarisEmblemItem,TFT5_Item_SunfireCapeRadiant,TFT_Item_WarmogsArmor,TFT4_Item_OrnnTheCollector,TFT_Item_Redemption,TFT5_Item_GargoyleStoneplateRadiant,TFT5_Item_RabadonsDeathcapRadiant,TFT5_Item_LocketOfTheIronSolariRadiant,TFT8_Item_Bloodthirster_GenAE,TFT5_Item_RunaansHurricaneRadiant,TFT_Item_ForceOfNature,TFT_Item_JeweledGauntlet,TFT_Item_ZekesHerald,TFT5_Item_HandOfJusticeRadiant,TFT5_Item_IonicSparkRadiant,TFT5_Item_ZekesHeraldRadiant,TFT5_Item_ThiefsGlovesRadiant,TFT8_Item_HackerEmblemItem,TFT_Item_UnstableConcoction,TFT4_Item_OrnnEternalWinter,TFT8_Item_StarGuardianEmblemItem,TFT_Item_DragonsClaw,TFT_Item_ChainVest,TFT_Item_HextechGunblade,TFT_Item_NegatronCloak,TFT5_Item_RapidFirecannonRadiant,TFT_Item_Shroud,TFT5_Item_BloodthirsterRadiant,TFT8_Item_IonicSpark_GenAE,TFT5_Item_JeweledGauntletRadiant,TFT5_Item_QuicksilverRadiant,TFT8_Item_ADMINEmblemItem,TFT_Item_TitanicHydra,TFT8_Item_GenAEEmblemItem,TFT8_Item_MascotEmblemItem,TFT8_Item_Shojin_GenAE,TFT_Item_Bloodthirster,TFT5_Item_RedemptionRadiant,TFT_Item_Zephyr,TFT8_Item_Warmogs_GenAE,TFT8_Item_ReconEmblemItem,TFT_Item_ArchangelsStaff,TFT_Item_BrambleVest,TFT5_Item_BlueBuffRadiant,TFT_Item_RedBuff,TFT_Item_PowerGauntlet,TFT_Item_RabadonsDeathcap,TFT5_Item_InfinityEdgeRadiant,TFT_Item_Quicksilver,TFT8_Item_Shroud_GenAE,TFT8_Item_AnimaSquadEmblemItem,TFT5_Item_DeathbladeRadiant,TFT8_Item_HeartEmblemItem,TFT_Item_StatikkShiv,TFT8_Item_ExoPrimeEmblemItem,TFT5_Item_TrapClawRadiant,TFT5_Item_ZzRotPortalRadiant,TFT_Item_Spatula,TFT8_Item_ChannelerEmblemItem,TFT5_Item_GiantSlayerRadiant,TFT_Item_Morellonomicon,TFT_Item_RapidFireCannon,TFT_Item_TitansResolve
TFT8_Alistar,0.00023798191337458352,0.00023798191337458352,0.0,0.004997620180866254,0.0,0.019990480723465015,0.028081865778200855,0.0,0.05259400285578296,0.00023798191337458352,0.0,0.054259876249405044,0.004997620180866254,0.0,0.026653974297953357,0.0033317467872441696,0.004283674440742504,0.003569728700618753,0.0,0.0016658733936220848,0.0,0.0,0.006901475487862923,0.00023798191337458352,0.002379819133745835,0.0,0.06449309852451214,0.002379819133745835,0.0,0.02356020942408377,0.002379819133745835,0.002141837220371252,0.002379819133745835,0.0,0.002379819133745835,0.0028557829604950024,0.0,0.00023798191337458352,0.0,0.002141837220371252,0.00475963826749167,0.00404569252736792,0.0,0.005711565920990005,0.0,0.008329366968110423,0.01142313184198001,0.0,0.0,0.0,0.0,0.00023798191337458352,0.0,0.0028557829604950024,0.005235602094240838,0.0014278914802475012,0.00047596382674916705,0.0007139457401237506,0.0033317467872441696,0.004997620180866254,0.006901475487862923,0.0011899095668729176,0.00023798191337458352,0.05830556877677297,0.0,0.047596382674916705,0.0,0.0,0.00047596382674916705,0.0011899095668729176,0.00023798191337458352,0.005711565920990005,0.002379819133745835,0.008567348881485007,0.0,0.00023798191337458352,0.0,0.00023798191337458352,0.0011899095668729176,0.002141837220371252,0.0028557829604950024,0.004997620180866254,0.03807710613993336,0.017848643503093765,0.0033317467872441696,0.013564969062351261,0.0,0.056877677296525465,0.0,0.00404569252736792,0.00023798191337458352,0.0,0.006187529747739172,0.11351737267967635,0.0038077106139933364,0.0,0.00047596382674916705,0.005235602094240838,0.00023798191337458352,0.03284150404569253,0.005473584007615421,0.00047596382674916705,0.004521656354117087,0.02831984769157544,0.0,0.08400761542122799,0.0038077106139933364,0.004997620180866254,0.0,0.004283674440742504,0.005949547834364588,0.0028557829604950024,0.0,0.008567348881485007,0.0038077106139933364,0.0016658733936220848,0.0,0.0016658733936220848,0.0011899095668729176,0.002141837220371252,0.0,0.006425511661113755,0.004997620180866254,0.010947168015230843
TFT8_Annie,0.00047162395849709165,0.0,0.0,0.0009432479169941833,0.0009432479169941833,0.004873447571136614,0.006288319446627889,0.0,0.13221191636535137,0.0006288319446627889,0.0,0.14903317088508097,0.0011004559031598806,0.0,0.006602735418959283,0.00015720798616569723,0.0012576638893255778,0.0006288319446627889,0.0,0.00455903159880522,0.00015720798616569723,0.0,0.00047162395849709165,0.0,0.0,0.0,0.013519886810249961,0.0009432479169941833,0.00015720798616569723,0.014934758685741236,0.00031441597233139445,0.0009432479169941833,0.0007860399308284861,0.0,0.0009432479169941833,0.00031441597233139445,0.00047162395849709165,0.0012576638893255778,0.0,0.0,0.0023581197924854584,0.0,0.0,0.0022009118063197612,0.0,0.002672535764816853,0.0006288319446627889,0.00015720798616569723,0.0,0.0015720798616569722,0.0031441597233139444,0.00031441597233139445,0.0,0.0011004559031598806,0.0015720798616569722,0.00015720798616569723,0.0,0.0,0.0051878635434680085,0.0009432479169941833,0.00015720798616569723,0.0,0.0011004559031598806,0.11004559031598805,0.0,0.03851595661059582,0.0006288319446627889,0.0,0.0,0.0059739034742964945,0.0,0.0006288319446627889,0.00015720798616569723,0.0011004559031598806,0.0,0.0012576638893255778,0.0,0.0,0.0007860399308284861,0.0006288319446627889,0.005502279515799403,0.0031441597233139444,0.06869988995440969,0.004087407640308128,0.0023581197924854584,0.004716239584970917,0.0,0.012576638893255778,0.0,0.0075459833359534665,0.0,0.0,0.00282974375098255,0.054551171199496935,0.0,0.009746895142273228,0.00015720798616569723,0.010061311114604623,0.0,0.0056594875019651,0.006445527432793586,0.0,0.0011004559031598806,0.07640308127652885,0.0,0.12136456531991825,0.0012576638893255778,0.002672535764816853,0.0,0.004244615626473825,0.0031441597233139444,0.0,0.0,0.0031441597233139444,0.0017292878478226694,0.0,0.0,0.0,0.00031441597233139445,0.0,0.0,0.00282974375098255,0.0009432479169941833,0.05486558717182833
TFT8_Aphelios,0.00027247956403269756,0.007356948228882834,0.0,0.004632152588555858,0.0,0.0010899182561307902,0.0013623978201634877,0.0,0.0013623978201634877,0.0,0.0005449591280653951,0.0010899182561307902,0.06103542234332425,0.0005449591280653951,0.0005449591280653951,0.020163487738419618,0.0340599455040872,0.05040871934604905,0.0,0.0,0.0019073569482288828,0.0,0.0010899182561307902,0.0,0.0051771117166212535,0.0,0.02861035422343324,0.00027247956403269756,0.0,0.002997275204359673,0.005994550408719346,0.0,0.01907356948228883,0.0,0.0019073569482288828,0.00790190735694823,0.0,0.0008174386920980927,0.0032697547683923707,0.004632152588555858,0.0005449591280653951,0.0,0.0,0.03433242506811989,0.0027247956403269754,0.004359673024523161,0.0032697547683923707,0.00027247956403269756,0.00027247956403269756,0.0021798365122615805,0.0016348773841961854,0.0,0.00027247956403269756,0.12942779291553133,0.0784741144414169,0.0,0.0,0.09182561307901907,0.0,0.10681198910081743,0.002997275204359673,0.0038147138964577656,0.0,0.0038147138964577656,0.003542234332425068,0.0021798365122615805,0.0,0.0,0.0,0.00027247956403269756,0.0005449591280653951,0.00027247956403269756,0.0051771117166212535,0.0223433242506812,0.0,0.0,0.0008174386920980927,0.0010899182561307902,0.0010899182561307902,0.05694822888283379,0.0,0.0,0.0010899182561307902,0.0013623978201634877,0.010081743869209809,0.0010899182561307902,0.00027247956403269756,0.0010899182561307902,0.0,0.0,0.00027247956403269756,0.0005449591280653951,0.0010899182561307902,0.002452316076294278,0.00027247956403269756,0.0005449591280653951,0.00027247956403269756,0.02670299727520436,0.00027247956403269756,0.006539509536784741,0.0,0.0010899182561307902,0.004087193460490463,0.0008174386920980927,0.00027247956403269756,0.002452316076294278,0.02806539509536785,0.004904632152588556,0.0010899182561307902,0.016893732970027248,0.0,0.0010899182561307902,0.0005449591280653951,0.0005449591280653951,0.023978201634877384,0.00027247956403269756,0.0005449591280653951,0.0,0.0008174386920980927,0.00027247956403269756,0.0010899182561307902,0.002997275204359673,0.01335149863760218,0.011444141689373298
TFT8_Ashe,0.0,0.0,0.0,0.0027272727272727275,0.0,0.0009090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.10181818181818182,0.0,0.0,0.04181818181818182,0.0,0.12090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.006363636363636364,0.0,0.0018181818181818182,0.0,0.0,0.0009090909090909091,0.0,0.0,0.0,0.0,0.0009090909090909091,0.0,0.0,0.0,0.0009090909090909091,0.0018181818181818182,0.0,0.0009090909090909091,0.0,0.01090909090909091,0.0036363636363636364,0.0009090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0009090909090909091,0.18272727272727274,0.05181818181818182,0.0,0.0,0.2109090909090909,0.0,0.1509090909090909,0.0,0.0,0.0,0.0,0.004545454545454545,0.0009090909090909091,0.0,0.0,0.0,0.0,0.0,0.0036363636363636364,0.0009090909090909091,0.006363636363636364,0.0,0.0,0.0009090909090909091,0.0,0.0,0.03090909090909091,0.0,0.0,0.0,0.0,0.004545454545454545,0.0009090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009090909090909091,0.0,0.013636363636363636,0.0,0.0036363636363636364,0.0,0.0,0.0,0.0,0.0,0.0,0.01090909090909091,0.0009090909090909091,0.0,0.008181818181818182,0.0,0.0,0.0009090909090909091,0.0,0.005454545454545455,0.0,0.0,0.0,0.0,0.0,0.0009090909090909091,0.0,0.004545454545454545,0.0018181818181818182
TFT8_AurelionSol,0.0,0.0024752475247524753,0.0008250825082508251,0.0016501650165016502,0.0,0.0008250825082508251,0.0008250825082508251,0.0033003300330033004,0.0012376237623762376,0.0,0.0,0.0,0.0,0.0,0.0008250825082508251,0.0028877887788778876,0.20214521452145215,0.0008250825082508251,0.0012376237623762376,0.0,0.007838283828382838,0.0,0.0037128712871287127,0.0,0.0049504950495049506,0.00041254125412541255,0.01485148514851485,0.0,0.0,0.0016501650165016502,0.0,0.00041254125412541255,0.0033003300330033004,0.00041254125412541255,0.008663366336633664,0.036303630363036306,0.0,0.0037128712871287127,0.0020627062706270625,0.0020627062706270625,0.0012376237623762376,0.0008250825082508251,0.00041254125412541255,0.009488448844884489,0.004125412541254125,0.013613861386138614,0.004537953795379538,0.0,0.0,0.0,0.0,0.0,0.0,0.028052805280528052,0.011963696369636964,0.0,0.0,0.0020627062706270625,0.0,0.1018976897689769,0.007013201320132013,0.00041254125412541255,0.0,0.0008250825082508251,0.00041254125412541255,0.0024752475247524753,0.0,0.00041254125412541255,0.0,0.0,0.0,0.0,0.15924092409240925,0.006188118811881188,0.0,0.0,0.00041254125412541255,0.0,0.0008250825082508251,0.026402640264026403,0.0,0.0028877887788778876,0.0024752475247524753,0.00041254125412541255,0.03341584158415842,0.0,0.0,0.0024752475247524753,0.0,0.0,0.0,0.0,0.0028877887788778876,0.00041254125412541255,0.0,0.0016501650165016502,0.0,0.009900990099009901,0.0,0.0037128712871287127,0.0,0.0008250825082508251,0.08333333333333333,0.00041254125412541255,0.00041254125412541255,0.0,0.022277227722772276,0.066006600660066,0.0,0.0049504950495049506,0.0,0.0024752475247524753,0.0,0.0028877887788778876,0.04661716171617162,0.00041254125412541255,0.0008250825082508251,0.0,0.0,0.004125412541254125,0.0008250825082508251,0.0028877887788778876,0.0049504950495049506,0.0033003300330033004
TFT8_BelVeth,0.0,0.0013339261894175188,0.0,0.0013339261894175188,0.0,0.0008892841262783459,0.0013339261894175188,0.011560693641618497,0.0022232103156958646,0.0,0.0,0.0013339261894175188,0.07469986660738105,0.0022232103156958646,0.0008892841262783459,0.016896398399288574,0.0031124944419742106,0.041351711871943087,0.0,0.0,0.0,0.00044464206313917296,0.011116051578479324,0.0,0.0022232103156958646,0.0,0.028012449977767896,0.00044464206313917296,0.0,0.0013339261894175188,0.0008892841262783459,0.0,0.005335704757670075,0.0,0.0013339261894175188,0.005780346820809248,0.0,0.00044464206313917296,0.004891062694530902,0.0017785682525566918,0.0,0.01956425077812361,0.00044464206313917296,0.057358826144953315,0.0035571365051133837,0.0017785682525566918,0.0008892841262783459,0.0,0.0008892841262783459,0.005335704757670075,0.0,0.0,0.0,0.05869275233437083,0.05558025789239662,0.0,0.0,0.10804802134281903,0.0,0.08848377056469542,0.0008892841262783459,0.0017785682525566918,0.0,0.0026678523788350376,0.0022232103156958646,0.0008892841262783459,0.00044464206313917296,0.0,0.0,0.0,0.0008892841262783459,0.0,0.006224988883948421,0.00755891507336594,0.0013339261894175188,0.00044464206313917296,0.00044464206313917296,0.0022232103156958646,0.0013339261894175188,0.05824811027123166,0.0,0.0,0.0026678523788350376,0.0,0.012894619831036016,0.00044464206313917296,0.0,0.00044464206313917296,0.0008892841262783459,0.0,0.00044464206313917296,0.00044464206313917296,0.0017785682525566918,0.0017785682525566918,0.0,0.0008892841262783459,0.0,0.08981769675411294,0.0,0.0022232103156958646,0.0,0.010226767452200978,0.0026678523788350376,0.0008892841262783459,0.0,0.0017785682525566918,0.020008892841262782,0.0035571365051133837,0.00044464206313917296,0.01823032458870609,0.0,0.00044464206313917296,0.0008892841262783459,0.00044464206313917296,0.012449977767896843,0.00044464206313917296,0.0,0.00044464206313917296,0.00044464206313917296,0.0,0.0013339261894175188,0.0026678523788350376,0.024899955535793685,0.07158737216540685
TFT8_Blitzcrank,0.0,0.0,0.0,0.004721435316336166,0.0,0.0,0.0226628895184136,0.004721435316336166,0.06326723323890462,0.0,0.0,0.0906515580736544,0.0009442870632672333,0.0,0.02077431539187913,0.0009442870632672333,0.0028328611898017,0.0009442870632672333,0.0,0.003777148253068933,0.0,0.0,0.0,0.004721435316336166,0.0009442870632672333,0.0,0.021718602455146365,0.0028328611898017,0.0,0.0169971671388102,0.0,0.003777148253068933,0.007554296506137866,0.0,0.0,0.0028328611898017,0.0,0.0,0.0,0.0018885741265344666,0.0028328611898017,0.0,0.0,0.0028328611898017,0.0,0.0056657223796034,0.003777148253068933,0.0,0.0,0.0009442870632672333,0.0084985835694051,0.0,0.0,0.0009442870632672333,0.0,0.0,0.0,0.004721435316336166,0.0,0.0018885741265344666,0.0028328611898017,0.0028328611898017,0.0018885741265344666,0.08498583569405099,0.0,0.10009442870632672,0.0,0.0,0.0,0.0,0.0,0.0018885741265344666,0.0009442870632672333,0.016052880075542966,0.0009442870632672333,0.0,0.0,0.0009442870632672333,0.0028328611898017,0.0009442870632672333,0.0028328611898017,0.0009442870632672333,0.04343720491029273,0.0084985835694051,0.0,0.009442870632672332,0.0,0.06232294617563739,0.0,0.0,0.0,0.0,0.0,0.06515580736543909,0.0009442870632672333,0.0056657223796034,0.0,0.0018885741265344666,0.0,0.024551463644948063,0.0,0.0,0.0009442870632672333,0.05476864966949953,0.0,0.12181303116147309,0.0028328611898017,0.0009442870632672333,0.0,0.0009442870632672333,0.0,0.0,0.0,0.009442870632672332,0.0028328611898017,0.04060434372049103,0.0,0.0009442870632672333,0.0018885741265344666,0.0,0.0,0.0,0.0009442870632672333,0.0066100094428706326
TFT8_Camille,0.0,0.0005675368898978433,0.0,0.0011350737797956867,0.0,0.0,0.003972758229284903,0.015891032917139614,0.00510783200908059,0.0,0.0,0.0005675368898978433,0.0073779795686719635,0.0,0.0011350737797956867,0.0022701475595913734,0.0005675368898978433,0.030079455164585697,0.0,0.0,0.0005675368898978433,0.0,0.0022701475595913734,0.0,0.00170261066969353,0.0,0.01021566401816118,0.0,0.0005675368898978433,0.0011350737797956867,0.00340522133938706,0.0,0.0,0.0,0.0011350737797956867,0.0,0.0,0.0005675368898978433,0.0028376844494892167,0.004540295119182747,0.0,0.0,0.0,0.015891032917139614,0.0,0.00170261066969353,0.0,0.0,0.0005675368898978433,0.006242905788876277,0.0005675368898978433,0.0,0.0,0.003972758229284903,0.19125993189557322,0.0,0.0,0.014755959137343927,0.0,0.048240635641316684,0.00170261066969353,0.0,0.0,0.0011350737797956867,0.0,0.00340522133938706,0.0,0.0,0.0,0.0,0.0005675368898978433,0.0005675368898978433,0.00340522133938706,0.0028376844494892167,0.0,0.0005675368898978433,0.0,0.0,0.004540295119182747,0.06583427922814983,0.0,0.0,0.003972758229284903,0.0022701475595913734,0.004540295119182747,0.0005675368898978433,0.0,0.00510783200908059,0.0,0.0,0.0,0.0011350737797956867,0.0,0.003972758229284903,0.0,0.0011350737797956867,0.0,0.23779795686719638,0.0,0.0022701475595913734,0.0005675368898978433,0.0,0.0,0.00510783200908059,0.0,0.006242905788876277,0.0073779795686719635,0.0011350737797956867,0.0,0.0056753688989784334,0.0,0.0005675368898978433,0.00170261066969353,0.0011350737797956867,0.0022701475595913734,0.0005675368898978433,0.0,0.0,0.0,0.0,0.0005675368898978433,0.0005675368898978433,0.0005675368898978433,0.23779795686719638
TFT8_Chogath,0.0,0.0004868549172346641,0.0,0.0029211295034079843,0.0,0.0024342745861733205,0.01557935735150925,0.0014605647517039922,0.07935735150925025,0.0009737098344693282,0.0,0.05501460564751704,0.006329113924050633,0.0,0.014605647517039922,0.0009737098344693282,0.009250243427458617,0.007302823758519961,0.0,0.0029211295034079843,0.0,0.0,0.0014605647517039922,0.0009737098344693282,0.0029211295034079843,0.0,0.10613437195715676,0.0009737098344693282,0.0,0.03943524829600779,0.004868549172346641,0.0019474196689386564,0.0004868549172346641,0.0,0.0034079844206426485,0.008763388510223954,0.0,0.0,0.0,0.0034079844206426485,0.0029211295034079843,0.0014605647517039922,0.0,0.009737098344693282,0.0004868549172346641,0.007789678675754625,0.0034079844206426485,0.0004868549172346641,0.0,0.0,0.004868549172346641,0.0004868549172346641,0.0,0.005355404089581304,0.005842259006815969,0.0,0.0,0.0009737098344693282,0.0,0.009250243427458617,0.0034079844206426485,0.0004868549172346641,0.0,0.07059396299902629,0.0,0.06037000973709834,0.0,0.0,0.0,0.0,0.0,0.0004868549172346641,0.011684518013631937,0.006329113924050633,0.0,0.0,0.0,0.0,0.0024342745861733205,0.011684518013631937,0.0019474196689386564,0.0014605647517039922,0.0934761441090555,0.005842259006815969,0.007302823758519961,0.011684518013631937,0.0,0.016066212268743916,0.0,0.0004868549172346641,0.0,0.0,0.0024342745861733205,0.019961051606621226,0.0,0.007302823758519961,0.0,0.014605647517039922,0.0,0.010223953261927946,0.0,0.0009737098344693282,0.007789678675754625,0.04868549172346641,0.0,0.0691333982473223,0.006329113924050633,0.009250243427458617,0.0,0.009250243427458617,0.0,0.0009737098344693282,0.0,0.0024342745861733205,0.004868549172346641,0.0,0.0,0.0004868549172346641,0.0009737098344693282,0.0004868549172346641,0.0,0.01801363193768257,0.004381694255111977,0.028237585199610515
TFT8_Draven,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013513513513513514,0.0,0.0,0.005405405405405406,0.0,0.01756756756756757,0.0,0.0,0.0,0.0,0.008108108108108109,0.0,0.0,0.0,0.0,0.0,0.0013513513513513514,0.0,0.0,0.0013513513513513514,0.0013513513513513514,0.0,0.0,0.0013513513513513514,0.0,0.0,0.0013513513513513514,0.006756756756756757,0.0,0.004054054054054054,0.0013513513513513514,0.004054054054054054,0.0,0.0,0.0013513513513513514,0.0,0.0,0.0013513513513513514,0.0,0.0,0.0,0.06621621621621622,0.20945945945945946,0.0,0.0,0.09324324324324325,0.0,0.09594594594594595,0.0,0.0,0.0,0.0013513513513513514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006756756756756757,0.0013513513513513514,0.0013513513513513514,0.0,0.0,0.0,0.0,0.043243243243243246,0.0,0.0,0.0,0.0,0.00945945945945946,0.002702702702702703,0.0013513513513513514,0.002702702702702703,0.0,0.0,0.0,0.0013513513513513514,0.0013513513513513514,0.0,0.0,0.0,0.0,0.22027027027027027,0.0,0.005405405405405406,0.0,0.0,0.0,0.0,0.0,0.0,0.005405405405405406,0.0,0.0,0.014864864864864866,0.0,0.0,0.0013513513513513514,0.0,0.008108108108108109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002702702702702703,0.13378378378378378
