Champion,Traits,Price,Avg_Place,Top_4,Top_1
TFT8_Alistar,"['aegis', 'mascot', 'oxforce']",3,3.9,60.1%,19.7%
TFT8_Annie,"['spellslinger', 'gadgeteen', 'oxforce']",2,4.1,56.8%,17.2%
TFT8_Aphelios,"['sureshot', 'arsenal', 'oxforce']",5,3.4,69.4%,23.6%
TFT8_Ashe,"['recon', 'lasercorps']",1,4.1,58.6%,15.2%
TFT8_Aurelion Sol,['threat'],4,4.1,57.9%,16.2%
TFT8_Bel'Veth,['threat'],4,4.1,57.7%,15.4%
TFT8_Blitzcrank,"['brawler', 'admin']",1,4.4,51.4%,14.6%
TFT8_Camille,"['renegade', 'admin']",2,4.2,54.0%,17.3%
TFT8_Cho'Gath,['threat'],3,4.2,55.4%,15.6%
TFT8_Draven,"['ace', 'mechaprime']",2,4.5,50.6%,13.7%
TFT8_Ekko,"['aegis', 'prankster', 'starguardian']",4,3.7,64.1%,20.6%
TFT8_Ezreal,"['recon', 'underground']",2,4.6,47.3%,12.5%
TFT8_Fiddlesticks,"['corrupted', 'threat']",5,3.4,69.8%,23.1%
TFT8_Fiora,"['duelist', 'oxforce']",2,4.2,55.7%,14.2%
TFT8_Galio,"['mascot', 'civilian']",1,4.1,57.0%,17.2%
TFT8_Gangplank,"['duelist', 'supers']",1,4.1,57.2%,16.1%
TFT8_Janna,"['forecaster', 'civilian']",5,3.3,72.0%,25.1%
TFT8_Jax,"['brawler', 'mechaprime']",3,4.4,52.3%,14.0%
TFT8_Jinx,"['prankster', 'animasquad']",2,4.1,56.6%,17.6%
TFT8_Kai'Sa,"['recon', 'starguardian']",3,4.2,55.7%,14.6%
TFT8_Kayle,"['duelist', 'underground']",1,4.7,45.3%,10.4%
TFT8_LeBlanc,"['hacker', 'spellslinger', 'admin']",3,4.0,59.0%,17.8%
TFT8_Lee Sin,"['brawler', 'heart', 'supers']",2,4.2,56.2%,16.4%
TFT8_Leona,"['aegis', 'renegade', 'mechaprime']",5,3.4,70.4%,23.5%
TFT8_Lulu,"['Gadgeteen', 'Heart']",1,4.82,43.67%,9.42%
TFT8_Lux,"['spellslinger', 'starguardian']",1,4.1,56.7%,16.9%
TFT8_Malphite,"['mascot', 'supers']",2,4.1,56.7%,16.6%
TFT8_Miss Fortune,"['ace', 'animasquad']",4,4.0,58.4%,18.2%
TFT8_Mordekaiser,"['ace', 'lasercorps']",5,3.4,70.9%,21.9%
TFT8_Nasus,"['mascot', 'animasquad']",1,4.1,56.1%,17.7%
TFT8_Nilah,"['duelist', 'starguardian']",3,4.1,57.8%,14.5%
TFT8_Nunu & Willump,"['mascot', 'gadgeteen']",5,3.4,70.5%,23.8%
TFT8_Poppy,"['defender', 'gadgeteen']",1,4.8,45.2%,9.3%
TFT8_Rammus,['threat'],3,4.2,55.3%,15.4%
TFT8_Rell,"['defender', 'starguardian']",2,4.3,53.3%,14.0%
TFT8_Renekton,"['brawler', 'lasercorps']",1,4.0,60.3%,16.4%
TFT8_Riven,"['brawler', 'defender', 'animasquad']",3,4.2,55.6%,15.8%
TFT8_Samira,"['ace', 'sureshot', 'underground']",4,4.2,54.7%,16.7%
TFT8_Sejuani,"['brawler', 'lasercorps']",4,3.9,61.8%,18.2%
TFT8_Senna,"['sureshot', 'lasercorps']",3,3.9,60.9%,16.4%
TFT8_Sett,"['defender', 'mechaprime']",4,4.1,56.6%,15.4%
TFT8_Sivir,"['sureshot', 'civilian']",2,4.0,59.2%,18.3%
TFT8_Sona,"['heart', 'spellslinger', 'underground']",3,4.5,50.1%,14.6%
TFT8_Soraka,"['heart', 'admin']",4,3.9,60.0%,18.5%
TFT8_Sylas,"['renegade', 'animasquad']",1,4.3,52.3%,16.3%
TFT8_Syndra,"['heart', 'starguardian']",5,3.4,71.2%,23.5%
TFT8_Taliyah,"['spellslinger', 'starguardian']",4,3.9,61.4%,18.0%
TFT8_Talon,"['renegade', 'oxforce']",1,4.1,56.3%,19.0%
TFT8_Urgot,['threat'],5,3.3,70.9%,25.8%
TFT8_Vayne,"['duelist', 'recon', 'animasquad']",3,4.1,58.2%,15.8%
TFT8_Vel'Koz,['threat'],3,4.1,56.7%,16.6%
TFT8_Vi,"['aegis', 'brawler', 'underground']",2,4.3,53.4%,16.0%
TFT8_Viego,"['renegade', 'oxforce']",4,4.0,58.9%,18.9%
TFT8_Wukong,"['defender', 'mechaprime']",1,4.5,50.8%,13.8%
TFT8_Yasuo,"['duelist', 'lasercorps']",2,4.0,60.5%,15.5%
TFT8_Yuumi,"['heart', 'mascot', 'starguardian']",2,4.2,55.8%,16.3%
TFT8_Zac,['threat'],4,4.0,58.2%,16.6%
TFT8_Zed,"['duelist', 'hacker', 'lasercorps']",4,3.9,62.8%,15.8%
TFT8_Zoe,"['hacker', 'prankster', 'gadgeteen']",3,3.9,60.8%,17.9%
