,TFT8_Alistar,TFT8_Annie,TFT8_Aphelios,TFT8_Ashe,TFT8_AurelionSol,TFT8_BelVeth,TFT8_Blitzcrank,TFT8_Camille,TFT8_Chogath,TFT8_Draven,TFT8_Ekko,TFT8_Ezreal,TFT8_Fiddlesticks,TFT8_Fiora,TFT8_Galio,TFT8_Gangplank,TFT8_Janna,TFT8_Jax,TFT8_Jinx,TFT8_Kaisa,TFT8_Kayle,TFT8_Leblanc,TFT8_LeeSin,TFT8_Leona,TFT8_Lulu,TFT8_Lux,TFT8_Malphite,TFT8_MissFortune,TFT8_Mordekaiser,TFT8_Nasus,TFT8_Nilah,TFT8_Nunu,TFT8_Poppy,TFT8_Rammus,TFT8_Rell,TFT8_Renekton,TFT8_Riven,TFT8_Samira,TFT8_Sejuani,TFT8_Senna,TFT8_Sett,TFT8_Sivir,TFT8_Sona,TFT8_Soraka,TFT8_Sylas,TFT8_Syndra,TFT8_Taliyah,TFT8_Talon,TFT8_Urgot,TFT8_Vayne,TFT8_Velkoz,TFT8_Vi,TFT8_Viego,TFT8_WuKong,TFT8_Yasuo,TFT8_Yuumi,TFT8_Zac,TFT8_Zed,TFT8_Zoe
TFT8_Item_MascotEmblemItem,,0.009746895142273228,0.0005449591280653951,0.0009090909090909091,0.0016501650165016502,0.0008892841262783459,0.0056657223796034,0.0011350737797956867,0.007302823758519961,,0.013054830287206266,,0.006749915626054675,0.00776914539400666,,0.09203466776723071,0.015172413793103448,0.00016423057973394647,0.006269592476489028,,,0.0008928571428571428,0.11610598392378683,0.011235955056179775,0.004807692307692308,,,0.0015772870662460567,0.005773672055427252,,0.0025563560306762724,,0.012903225806451613,0.00574345883854499,0.012006861063464836,0.008025682182985553,0.0014323715981174544,0.0005061582588155897,0.005621621621621622,0.003194888178913738,0.004545454545454545,0.014755959137343927,0.0038260869565217392,0.0017084282460136675,0.02092050209205021,0.004931506849315068,,0.0033500837520938024,0.006993006993006993,0.00019782393669634025,0.0008628127696289905,0.009670079635949944,0.0007674597083653108,0.02304147465437788,0.0018682858477347033,,0.015912481352560914,0.00017140898183064793,0.0010399334442595673
TFT5_Item_FrozenHeartRadiant,,0.00015720798616569723,0.00027247956403269756,,,,,,0.0004868549172346641,,0.00012433171702101205,,,,,,,,,,,,,0.00024968789013732833,,,,,,,,,,0.0003190810465858328,,0.0016051364365971107,0.0002046245140167792,,0.00021621621621621621,,,,,,,,,,,,,0.0008532423208191126,,,,,,,
TFT_Item_GuinsoosRageblade,0.0028557829604950024,0.0011004559031598806,0.12942779291553133,0.18272727272727274,0.028052805280528052,0.05869275233437083,0.0009442870632672333,0.003972758229284903,0.005355404089581304,0.06621621621621622,0.00484893696381947,0.023443815683104285,0.0033749578130273373,0.01553829078801332,0.0031705770450221942,0.010317787866281469,0.016551724137931035,0.23714895713581868,0.047021943573667714,0.14511754068716093,0.15172413793103448,0.013392857142857142,0.006847275974992557,0.004993757802746567,0.02403846153846154,0.003246753246753247,0.0051005100510051,0.033123028391167195,0.008083140877598153,0.01718213058419244,0.0039507320474087846,0.004173187271778821,0.0064516129032258064,0.0025526483726866626,0.005145797598627788,0.00882825040128411,0.00511561285041948,0.07052471739497217,0.0023783783783783785,0.12396166134185303,0.003896103896103896,0.12145289443813848,0.012521739130434783,0.013809794988610478,,0.04219178082191781,0.009017871782259386,0.0033500837520938024,0.027972027972027972,0.11295746785361029,0.028472821397756688,0.0034129692832764505,0.002686108979278588,,0.010742643624474545,0.005789270551910459,0.003978120338140228,0.050222831676379844,0.00478369384359401
TFT_Item_ChainVest,0.017848643503093765,0.004087407640308128,0.0013623978201634877,,0.00041254125412541255,,0.0084985835694051,0.0022701475595913734,0.005842259006815969,,0.008205893323386795,0.0008084074373484236,0.0026999662504218697,0.0022197558268590455,0.0057070386810399495,0.005365249690466364,0.012413793103448275,0.00032846115946789294,,,0.001379310344827586,0.0011904761904761906,0.00714498362607919,0.0044943820224719105,,,0.006600660066006601,,0.0005773672055427252,0.005154639175257732,0.0037183360446200325,0.0028690662493479394,0.0064516129032258064,0.00797702616464582,0.005145797598627788,0.0032102728731942215,0.005729486392469818,0.00016871941960519654,0.00572972972972973,,0.001948051948051948,0.0011350737797956867,0.0010434782608695651,0.0007118451025056948,0.0041841004184100415,0.0038356164383561643,0.00016396130513198886,,0.0026223776223776225,0.00019782393669634025,0.0008628127696289905,0.012514220705346985,0.0003837298541826554,,0.0037365716954694066,0.0005789270551910459,0.012928891098955743,0.0005142269454919438,0.00041597337770382697
TFT8_Item_OxForceEmblemItem,,,,,0.0033003300330033004,0.011560693641618497,0.004721435316336166,0.015891032917139614,0.0014605647517039922,,0.008205893323386795,,0.00809989875126561,,0.0022194039315155357,0.0024762690879075525,0.004827586206896552,0.0011496140581376253,0.003134796238244514,0.0004520795660036166,0.002758620689655172,0.004761904761904762,0.0020839535576064306,0.027715355805243445,0.004807692307692308,0.003246753246753247,0.0027002700270027003,0.003943217665615142,0.011547344110854504,0.000572737686139748,0.0034859400418312805,0.011997913406364111,0.012903225806451613,0.001595405232929164,0.00686106346483705,,0.0004092490280335584,0.01029188459591699,0.0034594594594594594,0.0044728434504792336,,0.0056753688989784334,0.001391304347826087,0.0011389521640091116,0.012552301255230125,0.0027397260273972603,0.000983767830791933,,0.00743006993006993,0.000791295746785361,0.0004314063848144953,0.002844141069397042,,,0.005604857543204111,0.0005789270551910459,0.0014917951268025858,0.013884127528282482,0.0008319467554076539
TFT5_Item_HandOfJusticeRadiant,,,,,,0.0013339261894175188,0.0009442870632672333,,,0.0013513513513513514,0.00012433171702101205,0.0016168148746968471,,,,,,0.0006569223189357859,,0.000678119349005425,,0.00029761904761904765,,,,,,,0.0005773672055427252,,,,,,,,,0.0005061582588155897,,,,,,0.00014236902050113895,,,0.00016396130513198886,,,0.00019782393669634025,,,0.0011511895625479663,,,0.00019297568506368199,,0.00034281796366129587,0.00020798668885191348
TFT5_Item_ChaliceOfPowerRadiant,,,,,0.00041254125412541255,,,,,,,0.002425222312045271,,,,,0.000689655172413793,,,,,,0.00029770765108663293,,,0.003246753246753247,,,,,0.00046479200557750407,0.000782472613458529,,,,,,,0.00010810810810810811,,,0.0011350737797956867,0.001391304347826087,0.00014236902050113895,,0.001095890410958904,,,,,0.0004314063848144953,,,,,,,,
TFT8_Item_UndergroundTheEmblemItem,0.0014278914802475012,0.00015720798616569723,,,,,,,,,0.0007459903021260724,,0.0006749915626054674,,,,,0.00032846115946789294,,0.0002260397830018083,,0.0008928571428571428,0.0011908306043465317,,,,,0.0003943217665615142,0.0011547344110854503,0.001145475372279496,0.00023239600278875203,0.0002608242044861763,,,,,0.0002046245140167792,,0.00043243243243243243,,0.0006493506493506494,0.0011350737797956867,,,,,,,0.00043706293706293706,,,,,,0.00046707146193367583,0.00019297568506368199,0.002486325211337643,,0.00020798668885191348
TFT_Item_FrozenHeart,0.02356020942408377,0.014934758685741236,0.002997275204359673,0.0009090909090909091,0.0016501650165016502,0.0013339261894175188,0.0169971671388102,0.0011350737797956867,0.03943524829600779,,0.034564217331841354,,0.00809989875126561,0.008879023307436182,0.025364616360177554,0.006603384234420141,0.009655172413793104,0.0008211528986697323,,0.0002260397830018083,,0.0020833333333333333,0.018755582018457874,0.035955056179775284,,,0.028502850285028504,0.0003943217665615142,0.028290993071593534,0.009736540664375716,0.030211480362537766,0.01486697965571205,0.01935483870967742,0.03477983407785577,0.029159519725557463,0.033707865168539325,0.02905668099038265,0.00016871941960519654,0.06227027027027027,0.0012779552715654952,0.02922077922077922,0.0011350737797956867,0.0020869565217391303,0.0012813211845102506,0.02092050209205021,0.006027397260273973,0.0003279226102639777,0.005025125628140704,0.006993006993006993,0.0011869436201780415,0.0025884383088869713,0.019340159271899887,0.0007674597083653108,0.009216589861751152,0.007006071929005138,0.00038595137012736397,0.030830432620586774,0.0008570449091532396,0.0008319467554076539
TFT5_Item_RapidFirecannonRadiant,,,0.00027247956403269756,,,,,,,0.0013513513513513514,,0.0008084074373484236,0.0003374957813027337,,,,,0.0008211528986697323,,,,,,,,,,,,0.000572737686139748,,0.0002608242044861763,,,,,,0.0005061582588155897,,,,,0.00034782608695652176,,,,,0.0016750418760469012,0.00043706293706293706,,,,,,,,,0.0005142269454919438,
