,Traits,Avg_Place,Top_4,Top_1
Alistar,"['aegis', 'mascot', 'oxforce']",,,
Annie,"['spellslinger', 'gadgeteen', 'oxforce']",4.1,56.8%,17.2%
Aphelios,"['sureshot', 'arsenal', 'oxforce']",,,
Ashe,"['recon', 'lasercorps']",,,
Aurelion Sol,['threat'],,,
Bel'Veth,['threat'],,,
Blitzcrank,"['brawler', 'admin']",4.4,51.4%,14.6%
Camille,"['renegade', 'admin']",4.2,54.0%,17.3%
Cho'Gath,['threat'],4.2,55.4%,15.6%
Draven,"['ace', 'mechaprime']",4.5,50.6%,13.7%
Ekko,"['aegis', 'prankster', 'starguardian']",,,
Ezreal,"['recon', 'underground']",4.6,47.3%,12.5%
Fiddlesticks,"['corrupted', 'threat']",,,
Fiora,"['duelist', 'oxforce']",4.2,55.7%,14.2%
Galio,"['mascot', 'civilian']",4.1,57.0%,17.2%
Gangplank,"['duelist', 'supers']",4.1,57.2%,16.1%
Janna,"['forecaster', 'civilian']",,,
Jax,"['brawler', 'mechaprime']",4.4,52.3%,14.0%
Jinx,"['prankster', 'animasquad']",4.1,56.6%,17.6%
Kai'Sa,"['recon', 'starguardian']",4.2,55.7%,14.6%
Kayle,"['duelist', 'underground']",4.7,45.3%,10.4%
LeBlanc,"['hacker', 'spellslinger', 'admin']",,,
Lee Sin,"['brawler', 'heart', 'supers']",4.2,56.2%,16.4%
Leona,"['aegis', 'renegade', 'mechaprime']",,,
Lux,"['spellslinger', 'starguardian']",4.1,56.7%,16.9%
Malphite,"['mascot', 'supers']",4.1,56.7%,16.6%
Miss Fortune,"['ace', 'animasquad']",,,
Mordekaiser,"['ace', 'lasercorps']",,,
Nasus,"['mascot', 'animasquad']",4.1,56.1%,17.7%
Nilah,"['duelist', 'starguardian']",,,
Nunu & Willump,"['mascot', 'gadgeteen']",,,
Poppy,"['defender', 'gadgeteen']",4.8,45.2%,9.3%
Rammus,['threat'],4.2,55.3%,15.4%
Rell,"['defender', 'starguardian']",4.3,53.3%,14.0%
Renekton,"['brawler', 'lasercorps']",,,
Riven,"['brawler', 'defender', 'animasquad']",4.2,55.6%,15.8%
Samira,"['ace', 'sureshot', 'underground']",4.2,54.7%,16.7%
Sejuani,"['brawler', 'lasercorps']",,,
Senna,"['sureshot', 'lasercorps']",,,
Sett,"['defender', 'mechaprime']",4.1,56.6%,15.4%
Sivir,"['sureshot', 'civilian']",,,
Sona,"['heart', 'spellslinger', 'underground']",4.5,50.1%,14.6%
Soraka,"['heart', 'admin']",,,
Sylas,"['renegade', 'animasquad']",4.3,52.3%,16.3%
Syndra,"['heart', 'starguardian']",,,
Taliyah,"['spellslinger', 'starguardian']",,,
Talon,"['renegade', 'oxforce']",4.1,56.3%,19.0%
Urgot,['threat'],,,
Vayne,"['duelist', 'recon', 'animasquad']",,,
Vel'Koz,['threat'],4.1,56.7%,16.6%
Vi,"['aegis', 'brawler', 'underground']",4.3,53.4%,16.0%
Viego,"['renegade', 'oxforce']",,,
Wukong,"['defender', 'mechaprime']",4.5,50.8%,13.8%
Yasuo,"['duelist', 'lasercorps']",,,
Yuumi,"['heart', 'mascot', 'starguardian']",4.2,55.8%,16.3%
Zac,['threat'],,,
Zed,"['duelist', 'hacker', 'lasercorps']",,,
Zoe,"['hacker', 'prankster', 'gadgeteen']",,,
